Designator,Mid X,Mid Y,Rotation,Layer
BOOT0,120.253125,-109.5375,270.0,top
C1,43.65625,-39.6875,180.0,bottom
C2,43.65625,-47.625,0.0,bottom
C3,119.85625,-97.234375,0.0,bottom
D1,32.46875,-34.3375,90.0,bottom
D10,203.91875,-34.3375,90.0,bottom
D11,222.96875,-34.3375,90.0,bottom
D12,242.01875,-34.3375,90.0,bottom
D13,261.06875,-34.3375,90.0,bottom
D14,279.796875,-35.71875,90.0,bottom
D15,291.16875,-37.6375,270.0,bottom
D16,318.21875,-34.3375,90.0,bottom
D17,37.23125,-53.3875,90.0,bottom
D18,61.04375,-53.3875,90.0,bottom
D19,80.09375,-53.3875,90.0,bottom
D2,58.640625,-91.4875,90.0,bottom
D20,99.14375,-53.3875,90.0,bottom
D21,118.19375,-53.3875,90.0,bottom
D22,137.24375,-53.3875,90.0,bottom
D23,156.29375,-53.3875,90.0,bottom
D24,175.34375,-53.3875,90.0,bottom
D25,194.39375,-53.3875,90.0,bottom
D26,213.44375,-53.3875,90.0,bottom
D27,232.49375,-53.3875,90.0,bottom
D28,251.54375,-53.3875,90.0,bottom
D29,270.59375,-53.3875,90.0,bottom
D3,70.56875,-34.3375,90.0,bottom
D30,294.40625,-53.3875,90.0,bottom
D31,318.21875,-53.3875,90.0,bottom
D32,39.6125,-72.4375,90.0,bottom
D33,65.80625,-72.4375,90.0,bottom
D34,84.85625,-72.4375,90.0,bottom
D35,103.90625,-72.4375,90.0,bottom
D36,122.95625,-72.4375,90.0,bottom
D37,142.00625,-72.4375,90.0,bottom
D38,161.05625,-72.4375,90.0,bottom
D39,180.10625,-72.4375,90.0,bottom
D4,89.61875,-34.3375,90.0,bottom
D40,199.15625,-72.4375,90.0,bottom
D41,218.20625,-72.4375,90.0,bottom
D42,237.25625,-72.4375,90.0,bottom
D43,256.30625,-72.4375,90.0,bottom
D44,287.2625,-72.4375,90.0,bottom
D45,318.21875,-72.4375,90.0,bottom
D46,44.375,-91.4875,90.0,bottom
D47,75.33125,-91.4875,90.0,bottom
D48,94.38125,-91.4875,90.0,bottom
D49,113.43125,-91.4875,90.0,bottom
D5,108.66875,-34.3375,90.0,bottom
D50,132.48125,-91.4875,90.0,bottom
D51,151.53125,-91.4875,90.0,bottom
D52,170.58125,-91.4875,90.0,bottom
D53,189.63125,-91.4875,90.0,bottom
D54,208.68125,-91.4875,90.0,bottom
D55,227.73125,-91.4875,90.0,bottom
D56,246.78125,-91.4875,90.0,bottom
D57,272.975,-91.4875,90.0,bottom
D58,299.16875,-91.4875,90.0,bottom
D59,318.21875,-91.4875,90.0,bottom
D6,127.71875,-34.3375,90.0,bottom
D60,41.85,-110.5375,90.0,bottom
D61,65.6625,-110.5375,90.0,bottom
D62,89.475,-110.5375,90.0,bottom
D63,153.9125,-110.5375,90.0,bottom
D64,225.35,-110.5375,90.0,bottom
D65,253.1625,-110.5375,90.0,bottom
D66,280.11875,-110.5375,90.0,bottom
D67,299.16875,-110.5375,90.0,bottom
D68,318.21875,-110.5375,90.0,bottom
D7,146.76875,-34.3375,90.0,bottom
D8,165.81875,-34.3375,90.0,bottom
D9,184.86875,-34.3375,90.0,bottom
J1,67.46875,-42.8625,270.0,bottom
LED1,34.13125,-71.4375,0.0,bottom
NRST1,134.14375,-109.5375,0.0,top
R1,121.840625,-93.265625,0.0,bottom
R2,117.871875,-93.265625,0.0,bottom
R3,34.13125,-79.771875,0.0,bottom
U1,43.65625,-43.65625,270.0,bottom
U2,48.41875,-63.103125,0.0,bottom
V_C1,43.65625,-50.403125,0.0,bottom
V_C2,52.784375,-68.659375,90.0,bottom
V_C3,48.815625,-70.246875,0.0,bottom
V_C4,42.465625,-58.7375,180.0,bottom
V_C5,53.975,-58.7375,0.0,bottom
V_C6,55.165625,-66.675,270.0,bottom
